"영화상영관명","주소","V3","V4"
"CGV서전주","전라북도 전주시 완산구 홍산로 260 엠스퀘어 6층",35.8169099,127.106455
"메가박스 전주혁신","전라북도 전주시 덕진구 기지로 77 2층",35.839004,127.0601374
"CGV 전주효자","전라북도 전주시 완산구 용머리로 45 (효자동1가, Mall of Hyoja 2층)",35.8069448,127.1156582
"CGV 전주고사","전라북도 전주시 완산구 전주객사3길 72",35.8203051,127.142105
"조이앤시네마 전주점","전라북도 전주시 완산구 전주객사3길 74-25",35.8211006,127.1422285
"메가박스 송천","전라북도 전주시 덕진구 동부대로 1215 (송천동2가)",35.8690246,127.1109848
"전주디지털독립영화관","전라북도 전주시 완산구 전주객사3길 22 (고사동, 전주영화제작소 4층",35.8183495,127.1425492
"전주시네마타운","전라북도 전주시 완산구 전주객사3길 67 (고사동)",35.8202705,127.1413647
"롯데시네마 전주(롯데백화점)","전라북도 전주시 완산구 온고을로 2 (서신동, 롯데백화점 7층)",35.8345304,127.1217987
"롯데시네마 전주평화","전라북도 전주시 완산구 백제대로 10 (평화동1가)",35.7954511,127.1394961
"롯데시네마 군산몰","전라북도 군산시 조촌로 130",35.9764485,126.738587
"CGV 군산","전라북도 군산시 백토로 166, 3층",35.9643009,126.7055315
"롯데시네마 군산나운"," 전라북도 군산시 백토로 198 ",35.9616888,126.7047408
"CGV 익산","전라북도 익산시 무왕로 1052 (영등동, 아오아 본건물 3~5층)",35.9577995,126.9722944
"롯데시네마 익산모현","전라북도 익산시 모현동1가 876",35.9499022,126.9397279
"CGV 정읍","전라북도 정읍시 중앙1길 1 (수성동)",35.5698936,126.8495508
"메가박스 남원","전라북도 남원시 향단로 26 (쌍교동)",35.405475,127.3831926
"지평선시네마","전라북도 김제시 도작로 224-32 (검산동, 청소년 수련관 1층)",35.814647,126.9009673
"완주 휴 시네마","전라북도 완주군 봉동읍 둔산3로 94 (둔산리, 근로자종합복지관 2층)",35.9624449,127.1286652
"마이골작은영화관","전라북도 진안군 진안읍 중앙로 40",35.7892156,127.4231187
"무주 산골영화관","전라북도 무주군 무주읍 한풍루로 326-17 (당산리, 무주예체문화관 2층)",36.0025761,127.6624636
"한누리시네마","전라북도 장수군 장수읍 한누리로 393 (두산리, 한누리전당 내 가람관 1층)",35.6410352,127.518089
"작은별 영화관","전라북도 임실군 임실읍 호국로 1703 (이도리, 임실군민회관 지하1층)",35.6150242,127.286984
"천재의 공간 영화산책","전라북도 순창군 순창읍 남계로 83",35.3740658,127.144799
"고창문화원 동리시네마","전라북도 고창군 고창읍 판소리길 20 (읍내리, 동리국악당 지하)",35.4316666,126.7025854
"부안마실영화관","전라북도 부안군 부안읍 예술회관길 11 (서외리)",35.7242597,126.7261426
"","",NA,NA
"","",NA,NA
"","",NA,NA
