"기관","주소","...3","...4"
"국민연금공단 전주완주지사","전북 전주시 완산구 온고을로 13",35.8333513,127.121595
"김제노인종합사회복지관","전북 김제시 하동1길 79",35.814823,126.8945421
"전북여성교육문화센터","전북 전주시 덕진구 들사평로 38",35.8390485,127.1241497
"전북일자리센터","전북 전주시 완산구 효자로 173",35.8193773,127.1043085
"전북중장년내일센터","전북 전주시 완산구 홍산로 261 BYC빌딩 5층",35.8170899,127.1055293
"한국주택금융공사","전북 전주시 완산구 온고을로 29 KT빌딩",35.8334139,127.120364
"광역치매센터","전북 전주시 완산구 서원로 328 2층",35.812136,127.1302603
"건강보험심사평가원","전북 전주시 완산구 온고을로 13 국민연금빌딩",35.8333513,127.121595
"근로복지공단 전주지사 본관","전북 전주시 덕진구 건산로 251 노동부 종합청사 6층",35.8352637,127.1642607
"근로복지공단 전주지사 별관","전북전주시덕진구진버들3길 21-12 KT인후빌딩 5층",35.8355991,127.160609
"근로복지공단 군산지사","전북 군산시 해망로 178 근로복지공단",35.9883176,126.7177571
"전주서민금융통합지원센터","전북전주시덕진구기린대로 396 3층",35.837599,127.1329351
"익산서민금융통합지원센터","전북익산시익산대로16길 39 SK빌딩 11층",35.94007,126.9518564
"군산 서민금융통합지원센터","전북 군산시 조촌로 62",35.9694049,126.7383204
"소상공인시장진흥공단 전주센터","전북 전주시 완산구 홍산로 276 전주상공회의소 4층",35.8182141,127.1065132
"소상공인시장진흥공단 익산센터","전북익산시인북로 187 익산상공회의소 3층",35.945592,126.9555435
"소상공인시장진흥공단 군산센터","전북 군산시 중앙로 124 흥국생명빌딩 3층",35.9845724,126.7161164
"소상공인시장진흥공단 정읍센터","전북 정읍시 중앙로 72 기업은행 3층",35.5700648,126.8482788
"우리은행정읍지점","전북 정읍시 충정로 88 K2 PC클럽",35.5613837,126.8681614
"우리은행김제지점","전북 김제시 화동길 75",35.7988715,126.8916886
"우리은행군산금융센터","전북군산시중앙로 106 우리은행",35.9830673,126.7174313
"우리은행 군산나운동지점","전북군산시백토로 119 대주빌딩",35.9683294,126.706081
"우리은행 익산지점","전북익산시익산대로16길 33 우리은행",35.9401874,126.9512274
"우리은행 익산영등동지점","전북익산시무왕로 1078",35.9582306,126.9763864
"우리은행 365 이마트익산점 1층","전북익산시평동로 705",35.930615,126.9579881
"우리은행전주중앙지점","전북 전주시 완산구 홍산로 263",35.8172811,127.1054987
"우리은행전주금융센터","전북전주시완산구팔달로 159",35.8165772,127.1471957
"우리은행 전주송천동지점","전북 전주시 덕진구 송천로 1 송천동 센트럴파크",35.8532859,127.1189302
"우리은행국민연금공단금융센터","전북 전주시 덕진구 기지로 180",35.8372104,127.0716501
"우리은행 전북혁신도시지점","전북완주군이서면안전로 135",35.8360566,127.0581963
"우리은행 전북영업본부","전북전주시완산구팔달로 159",35.8165772,127.1471957
"우리은행 365 전주서신동자동화점","전북전주시완산구당산로 48 (서신동, 소망빌딩)",35.8319799,127.1135009
"우리은행 전주대학교 출장소","전북 전주시 완산구 천잠로 303",35.8106837,127.0883549
"우리은행365 서노송동자동화점","전북전주시완산구기린대로 222",35.8265325,127.1464102
"우리은행 365 이마트 전주점","전북 전주시 완산구 당산로 111",35.8325874,127.1202841
"하나은행 군산지점","전북군산시월명로 260",35.9671862,126.716142
"하나은행 나운동지점","전북군산시하나운로 32 세경아파트상가2층",35.9608184,126.7016666
"하나은행 익산지점","전북익산시무왕로 1073",35.958765,126.9759879
"하나은행 익산공단지점","전북익산시선화로 418",35.9465135,126.9760489
"하나은행전주공단지점","전북완주군봉동읍완주산단5로 83",35.9440498,127.1263068
"하나은행 전주금융센터지점","전북전주시완산구충경로 63",35.8186111,127.1459802
"하나은행 서신동지점","전북전주시완산구유연로 287",35.8255356,127.1168827
"하나은행효자동지점","전북 전주시 완산구 용머리로 34",35.8057541,127.1140939
"미래에셋증권 전주WM","전북 전주시 완산구 온고을로 13 1·2층",35.8333513,127.121595
"미래에셋증권 군산WM","전북 군산시 하나운로 72 2층 (나운동, 유앤미프라자)",35.964752,126.7024283
"전주시중독관리통합지원센터","전북전주시완산구장승배기로 263 1층, 전주시중독관리통합지원센터",35.798866,127.1410383
"군산시중독관리통합지원센터","전북 군산시 공단대로 482 치매안심센터 4층",35.9646327,126.6897854
"익산시중독관리통합지원센터","전북 익산시 무왕로 975 2층",35.9608985,126.9665637
"국민체력100 전주체력인증센터","전북전주시완산구백제대로 310 화산체육관",35.8209116,127.1245888
"국민체력100 익산체력인증센터","전북익산시무왕로 1397",35.967842,127.0075477
"국민체력100 군산체력인증센터","전북군산시번영로 281 군산체력인증센터 1층",35.9637328,126.7483939
"국민체력100 남원체력인증센터","전북남원시충정로 341",35.4306519,127.403754
"국민체력100 정읍체력인증센터","전북 정읍시 상동중앙로 16 정읍체력인증센터",35.57299,126.845509
"전주시건강가정지원센터","전북전주시완산구서신로 61",35.8307978,127.115451
"군산시건강가정지원센터","전북군산시축동1길 15-2 군산시건강가족지원센터",35.9654625,126.7137692
"임실군건강가정지원센터","전북 임실군 임실읍 운수로 27",35.6146802,127.2840838
"전주시정신건강복지센터","전북전주시덕진구벚꽃로 55 덕진진료실 2층",35.8293529,127.1345135
"전라북도정신건강복지센터","전북 전주시 덕진구 정여립로 1115 나눔둥지타운 407호",35.8484921,127.0837557
"군산시정신건강복지센터","전북군산시공단대로 482 5층",35.9646327,126.6897854
"익산시정신건강복지센터","전북익산시무왕로 975 익산시보건소",35.9610244,126.9664376
"정읍시정신건강복지센터","전북정읍시수성택지4길 11",35.5779809,126.8545186
"남원시정신건강복지센터","전북 남원시 요천로 1283",35.3973702,127.3638799
"완주군정신건강복지센터","전북 완주군 삼례읍 삼봉8로 10-10 완주군보건소 2층",35.9219102,127.1223236
"고창군정신건강복지센터","전북고창군고창읍전봉준로 90 고창군보건소",35.4437586,126.6832489
"부안군정신건강복지센터","전북부안군부안읍오리정로 124 부안보건소",35.7227817,126.7355702
"장수군정신건강복지센터","전북 장수군 장수읍 장천로 255-10 1층",35.6548622,127.519021
"무주군정신건강복지센터","전북 무주군 무주읍 한풍루로 413",36.0056393,127.6717137
"부안군농어촌종합지원센터","전북부안군부안읍번영로 121",35.7265976,126.7337098
"전라북도농어촌종합지원센터","전북 전주시 덕진구 오공로 38",35.835412,127.0593725
"김제시농어촌종합지원센터","전북 김제시 동서로 62 2층",35.7942286,126.8779203
"군산시농어촌종합지원센터","전북 군산시 옥산면 옥산로 245 옥산힐빙센터 2층",35.9418017,126.7500838
